influencer_id,follower_id
759491,74
66915,335
71209,335
91438,335
113823,335
132710,335
208582,335
397880,335
489999,335
492331,335
615119,335
651107,335
747445,335
755156,335
838272,335
895136,335
899530,335
960690,335
988638,335
75264,441
91650,441
112789,441
134729,441
295756,441
359326,441
446509,441
485135,441
579839,441
741746,441
789064,441
790820,441
796045,441
806829,441
825087,441
863790,441
883318,441
748421,589
5953,1098
59537,1098
61938,1098
75264,1098
81493,1098
84209,1098
91650,1098
130932,1098
139026,1098
182598,1098
200968,1098
349157,1098
354105,1098
379125,1098
446509,1098
485791,1098
490004,1098
503913,1098
562304,1098
574772,1098
604852,1098
623985,1098
754032,1098
755156,1098
771438,1098
772567,1098
840402,1098
8828,1113
81403,1113
546214,1113
628467,1113
50493,1498
96977,1498
97325,1498
219966,1498
561105,1498
607053,1498
38936,2330
41874,2330
642542,2330
754032,2330
346336,2411
354105,2411
754032,2411
840102,2411
988440,2411
133969,2578
112462,2867
139026,2867
187478,2867
192382,2867
240865,2867
255371,2867
354105,2867
489303,2867
831381,2867
894465,2867
18977,3170
19297,3170
297894,3170
517607,3226
583618,3226
626463,3226
859509,3226
649950,3595
754032,3595
131627,3669
137580,3669
170369,3669
207735,3669
240311,3669
289177,3669
332141,3669
519637,3669
578028,3669
584923,3669
690254,3669
744265,3669
767068,3669
921965,3669
923384,3669
91650,4451
123007,4451
490141,4451
31380,4852
122754,4852
237205,4852
492331,4852
664817,4852
100160,4955
577627,4955
887806,5307
22124,5441
84209,5441
91650,5441
98465,5441
105422,5441
163386,5441
192382,5441
246611,5441
260206,5441
287259,5441
315403,5441
371258,5441
386253,5441
406294,5441
424244,5441
446509,5441
490952,5441
501407,5441
561715,5441
579839,5441
588450,5441
604852,5441
673208,5441
749970,5441
751910,5441
771438,5441
925852,5441
957085,5441
1098,5501
22124,5501
134729,5501
223627,5501
260206,5501
280956,5501
351733,5501
357406,5501
388198,5501
424244,5501
446509,5501
506513,5501
572737,5501
579839,5501
741746,5501
754032,5501
771438,5501
790820,5501
806829,5501
825251,5501
863790,5501
66915,5882
100160,5882
120521,5882
180228,5882
354105,5882
489303,5882
577627,5882
754032,5882
799053,5882
824022,5882
894465,5882
22928,5953
41874,5953
46120,5953
66915,5953
76057,5953
100160,5953
114342,5953
137474,5953
138699,5953
182598,5953
311674,5953
346336,5953
354105,5953
489303,5953
489676,5953
562304,5953
577627,5953
642542,5953
754032,5953
772567,5953
894465,5953
66915,5980
37730,6310
39258,6310
47789,6310
51992,6310
66915,6310
78741,6310
130173,6310
184043,6310
287917,6310
350840,6310
387530,6310
490554,6310
612716,6310
853492,6310
898479,6310
936425,6310
987491,6310
11707,6320
41874,6320
43714,6320
46925,6320
96964,6320
110161,6320
130689,6320
136871,6320
277351,6320
481461,6320
674662,6320
685647,6320
754032,6320
796734,6320
36537,7230
89021,7230
112462,7230
139026,7230
187478,7230
209142,7230
240865,7230
307135,7230
354105,7230
496405,7230
754032,7230
805785,7230
842351,7230
152312,7305
55128,7729
58616,7729
120521,7729
773642,7729
824022,7729
50251,7731
88180,7731
97325,7731
134729,7731
139026,7731
223627,7731
346336,7731
359326,7731
446509,7731
485135,7731
490952,7731
506513,7731
579839,7731
771438,7731
798606,7731
863790,7731
883318,7731
1098,7920
5953,7920
61938,7920
84209,7920
105422,7920
114342,7920
139026,7920
139908,7920
192382,7920
260206,7920
349157,7920
379125,7920
418740,7920
446509,7920
490004,7920
501407,7920
562304,7920
574772,7920
623985,7920
671953,7920
749970,7920
771438,7920
891063,7920
895136,7920
817011,8125
59293,8245
575051,8245
65590,8549
66915,8549
131627,8549
189678,8549
325459,8549
346336,8549
379125,8549
422405,8549
545726,8549
615119,8549
621944,8549
752314,8549
754032,8549
780625,8549
840402,8549
895136,8549
922911,8549
39013,8570
305363,8570
563834,8570
579839,8570
690456,8570
781766,8570
808944,8570
855836,8570
178906,8591
219203,8591
572737,8591
583618,8591
798606,8591
803026,8591
808944,8591
855836,8591
859509,8591
11754,8828
22257,8828
31380,8828
81403,8828
159433,8828
228099,8828
235923,8828
237205,8828
246960,8828
290590,8828
354722,8828
390477,8828
484145,8828
495338,8828
545074,8828
776093,8828
100160,9084
138699,9084
253142,9084
754032,9084
840402,9084
590441,9218
270491,9437
834108,9437
112789,9441
167320,9441
178122,9441
420133,9441
572737,9441
820115,9441
825251,9441
100160,9490
393345,9490
564333,9490
577627,9490
894465,9490
899530,9490
7731,9787
7920,9787
88180,9787
112789,9787
134729,9787
543595,9787
572737,9787
750742,9787
782768,9787
813946,9787
167320,9970
178122,9970
813946,9970
863790,9970
12472,10412
20050,10412
36106,10412
38490,10412
66915,10412
77175,10412
96964,10412
178536,10412
265440,10412
307461,10412
313284,10412
317417,10412
745964,10412
988440,10412
127337,10538
183858,10538
217622,10538
531986,10538
617196,10538
645474,10538
809266,10538
852855,10538
62823,10982
91650,10982
202545,10982
385611,10982
418740,10982
490004,10982
754032,10982
960690,10982
335,11046
158309,11046
225930,11046
492331,11046
680476,11046
792530,11046
740833,11506
205180,11608
313284,11608
354105,11608
625739,11608
112789,11664
66915,11707
240865,11707
642542,11707
674662,11707
754032,11707
809058,11707
237205,11754
325401,11754
473554,11754
686897,11754
936190,11754
175196,11910
354105,11910
390477,12128
66915,12472
489303,12472
489676,12472
493122,12472
543055,12472
631774,12472
751019,12472
754032,12472
925181,12472
237205,12491
152023,12595
184043,12595
5953,12654
84209,12654
98465,12654
139026,12654
165663,12654
193320,12654
246611,12654
260206,12654
299471,12654
315403,12654
604852,12654
673208,12654
745241,12654
771438,12654
897214,12654
925852,12654
66915,12877
34899,12972
51376,12972
132710,12972
167287,12972
219483,12972
290812,12972
364399,12972
531986,12972
617196,12972
838272,12972
842802,12972
895136,12972
990384,12972
138699,13101
300245,13101
617196,13101
70715,13384
144847,13384
180228,13384
686897,13384
765722,13384
814606,13384
31685,13387
66915,13387
96613,13387
117490,13387
130689,13387
133969,13387
137474,13387
147635,13387
159214,13387
166785,13387
174557,13387
182900,13387
184091,13387
204386,13387
248798,13387
270491,13387
307461,13387
359016,13387
359966,13387
688400,13387
812046,13387
816387,13387
936190,13387
962339,13387
15694,13508
29791,13508
29884,13508
31556,13508
36521,13508
51992,13508
66915,13508
79044,13508
112185,13508
130173,13508
145128,13508
212131,13508
219203,13508
240665,13508
325459,13508
326249,13508
357406,13508
379125,13508
393345,13508
564333,13508
575522,13508
631774,13508
754032,13508
755156,13508
793425,13508
815537,13508
